	tt	loss	loss_rec	entropy_marginal	entropy_mean	loss_affine
352	3529	-0.252	0.012	2.737	0.297	0.021
353	3539	-0.252	0.012	2.735	0.292	0.02
354	3549	-0.252	0.012	2.736	0.295	0.02
355	3559	-0.252	0.012	2.737	0.292	0.021
356	3569	-0.251	0.012	2.733	0.293	0.021
357	3579	-0.252	0.012	2.735	0.289	0.02
358	3589	-0.252	0.012	2.734	0.29	0.02
359	3599	-0.252	0.012	2.735	0.286	0.021
360	3609	-0.252	0.012	2.737	0.286	0.021
361	3619	-0.252	0.012	2.731	0.284	0.022
362	3629	-0.252	0.012	2.736	0.281	0.021
363	3639	-0.252	0.012	2.734	0.278	0.02
364	3649	-0.252	0.012	2.734	0.281	0.022
365	3659	-0.252	0.012	2.733	0.277	0.021
366	3669	-0.252	0.012	2.734	0.278	0.023
367	3679	-0.252	0.012	2.735	0.278	0.021
368	3689	-0.252	0.012	2.734	0.277	0.023
369	3699	-0.252	0.012	2.734	0.273	0.021
370	3709	-0.252	0.012	2.735	0.272	0.021
371	3719	-0.252	0.012	2.734	0.272	0.021
372	3729	-0.252	0.012	2.734	0.269	0.021
373	3739	-0.252	0.012	2.732	0.27	0.022
374	3749	-0.252	0.012	2.733	0.268	0.022
375	3759	-0.252	0.012	2.733	0.266	0.022
376	3769	-0.253	0.012	2.734	0.263	0.021
377	3779	-0.253	0.012	2.736	0.265	0.023
378	3789	-0.253	0.012	2.736	0.26	0.022
379	3799	-0.253	0.012	2.733	0.256	0.02
380	3809	-0.253	0.012	2.734	0.262	0.022
381	3819	-0.253	0.012	2.736	0.262	0.021
382	3829	-0.253	0.012	2.733	0.258	0.022
383	3839	-0.253	0.012	2.734	0.258	0.023
384	3849	-0.253	0.012	2.733	0.26	0.023
385	3859	-0.253	0.012	2.735	0.254	0.023
386	3869	-0.253	0.012	2.734	0.256	0.022
387	3879	-0.253	0.012	2.736	0.255	0.023
388	3889	-0.253	0.012	2.731	0.255	0.022
389	3899	-0.253	0.012	2.733	0.252	0.021
390	3909	-0.253	0.012	2.734	0.256	0.024
391	3919	-0.253	0.012	2.734	0.244	0.022
392	3929	-0.253	0.012	2.733	0.249	0.023
393	3939	-0.253	0.012	2.733	0.251	0.023
394	3949	-0.253	0.012	2.734	0.242	0.023
395	3959	-0.253	0.012	2.733	0.244	0.023
396	3969	-0.253	0.012	2.732	0.246	0.024
397	3979	-0.253	0.012	2.735	0.242	0.022
398	3989	-0.253	0.012	2.734	0.241	0.024
399	3999	-0.253	0.012	2.735	0.238	0.022
400	4009	-0.253	0.012	2.733	0.237	0.022
401	4019	-0.253	0.012	2.73	0.244	0.022
402	4029	-0.254	0.012	2.735	0.237	0.023
403	4039	-0.253	0.012	2.734	0.237	0.023
404	4049	-0.253	0.012	2.732	0.235	0.023
405	4059	-0.253	0.012	2.733	0.235	0.023
406	4069	-0.254	0.012	2.735	0.233	0.023
407	4079	-0.253	0.012	2.733	0.238	0.023
408	4089	-0.254	0.012	2.734	0.23	0.022
409	4099	-0.253	0.012	2.731	0.231	0.024
410	4109	-0.254	0.012	2.734	0.229	0.023
411	4119	-0.253	0.012	2.734	0.233	0.025
412	4129	-0.254	0.012	2.735	0.229	0.024
413	4139	-0.254	0.012	2.735	0.229	0.024
414	4149	-0.254	0.012	2.733	0.228	0.024
415	4159	-0.254	0.012	2.735	0.224	0.023
416	4169	-0.254	0.012	2.735	0.226	0.025
417	4179	-0.254	0.012	2.732	0.222	0.022
418	4189	-0.254	0.012	2.735	0.222	0.024
419	4199	-0.254	0.012	2.734	0.221	0.024
420	4209	-0.254	0.012	2.732	0.22	0.023
421	4219	-0.254	0.012	2.735	0.219	0.023
422	4229	-0.254	0.012	2.734	0.221	0.024
423	4239	-0.254	0.012	2.733	0.217	0.025
424	4249	-0.254	0.012	2.733	0.218	0.024
425	4259	-0.254	0.012	2.733	0.219	0.024
426	4269	-0.254	0.012	2.734	0.217	0.026
427	4279	-0.254	0.012	2.735	0.214	0.023
428	4289	-0.254	0.012	2.733	0.217	0.024
429	4299	-0.254	0.012	2.733	0.214	0.024
430	4309	-0.254	0.012	2.734	0.211	0.024
431	4319	-0.254	0.012	2.732	0.213	0.025
432	4329	-0.254	0.012	2.735	0.213	0.024
433	4339	-0.254	0.012	2.732	0.215	0.024
434	4349	-0.254	0.012	2.731	0.211	0.025
435	4359	-0.254	0.012	2.735	0.207	0.023
436	4369	-0.254	0.012	2.731	0.212	0.025
437	4379	-0.254	0.012	2.735	0.209	0.024
438	4389	-0.254	0.012	2.734	0.208	0.024
439	4399	-0.254	0.012	2.733	0.206	0.025
440	4409	-0.255	0.012	2.735	0.205	0.025
